iter	RMSE
0	15.11013967
1	14.31942601
2	13.57358858
3	12.91082156
4	12.28855346
5	11.71491922
6	11.1246862
7	10.62712427
8	10.15372462
9	9.721655828
10	9.294609823
11	8.870920417
12	8.545344221
13	8.188295638
14	7.911031374
15	7.673420766
16	7.447008914
17	7.203971994
18	6.984490886
19	6.822848683
20	6.640174107
21	6.475921043
22	6.36808354
23	6.226207554
24	6.119670606
25	6.011096435
26	5.914104802
27	5.814924953
28	5.714371862
29	5.638999533
30	5.568758088
31	5.484912025
32	5.417361687
33	5.357339743
34	5.306968306
35	5.26021195
36	5.200299887
37	5.143161286
38	5.09499895
39	5.036359273
40	4.978284778
41	4.950447167
42	4.913829371
43	4.874554271
44	4.825591553
45	4.78146799
46	4.747799448
47	4.719423504
48	4.689381874
49	4.657998155
50	4.6274542
51	4.607211966
52	4.568780882
53	4.534089921
54	4.510612713
55	4.476689271
56	4.450078329
57	4.41800541
58	4.397845403
59	4.36963027
60	4.34099947
61	4.321430418
62	4.295199404
63	4.271845135
64	4.251395607
65	4.222917296
66	4.200873486
67	4.181853907
68	4.153826928
69	4.127626484
70	4.104090666
71	4.083825302
72	4.066164879
73	4.049396049
74	4.033264789
75	4.015657475
76	3.999448232
77	3.976666482
78	3.957115855
79	3.947766046
80	3.931485056
81	3.908332192
82	3.880764227
83	3.863359221
84	3.836599329
85	3.81933347
86	3.810884888
87	3.792349274
88	3.785130315
89	3.757688639
90	3.747903944
91	3.726489682
92	3.717047161
93	3.704691351
94	3.696029432
95	3.689021962
96	3.680131856
97	3.665458076
98	3.652692693
99	3.644535039
