iter	Passed	Remaining
0	0	361
1	1	302
2	2	278
3	2	271
4	3	264
5	3	266
6	4	261
7	5	258
8	5	256
9	6	261
10	7	263
11	7	261
12	8	258
13	9	259
14	9	257
15	10	255
16	10	253
17	11	252
18	12	250
19	12	248
20	13	247
21	13	246
22	14	245
23	14	244
24	15	243
25	16	242
26	16	242
27	17	240
28	17	239
29	18	239
30	19	238
31	19	237
32	20	236
33	21	237
34	21	237
35	22	237
36	23	238
37	24	240
38	24	240
39	25	240
40	26	239
41	26	238
42	27	237
43	27	236
44	28	235
45	29	235
46	30	235
47	30	235
48	31	234
49	31	233
50	32	232
51	33	231
52	33	230
53	34	229
54	34	229
55	35	229
56	36	230
57	37	230
58	38	232
59	39	232
60	39	231
61	40	231
62	41	230
63	41	230
64	42	229
65	43	228
66	43	227
67	44	227
68	45	226
69	45	225
70	46	225
71	47	225
72	47	224
73	48	223
74	49	223
75	49	222
76	50	222
77	51	222
78	52	222
79	53	222
80	53	221
81	54	221
82	54	220
83	55	219
84	56	218
85	56	218
86	57	218
87	58	217
88	59	216
89	59	216
90	60	215
91	60	214
92	61	213
93	62	213
94	62	212
95	63	211
96	64	211
97	65	212
98	66	212
99	67	213
100	68	213
101	69	213
102	70	213
103	71	213
104	72	213
105	72	212
106	73	212
107	73	211
108	74	210
109	75	209
110	75	208
111	76	208
112	77	207
113	78	206
114	78	206
115	80	206
116	80	206
117	81	206
118	82	206
119	83	206
120	84	206
121	85	205
122	86	205
123	86	204
124	87	203
125	88	202
126	88	201
127	89	200
128	89	200
129	90	199
130	91	198
131	92	198
132	92	197
133	93	196
134	94	195
135	94	195
136	95	194
137	96	194
138	97	193
139	97	192
140	98	191
141	99	191
142	99	190
143	100	189
144	100	188
145	101	187
146	102	187
147	102	186
148	103	185
149	104	185
150	105	184
151	105	183
152	106	183
153	107	182
154	107	181
155	108	180
156	109	179
157	109	179
158	110	178
159	111	178
160	112	177
161	113	177
162	114	177
163	114	176
164	115	175
165	116	174
166	116	174
167	117	173
168	118	172
169	118	171
170	119	171
171	120	170
172	121	170
173	122	169
174	122	169
175	123	168
176	124	167
177	125	167
178	125	166
179	126	165
180	127	165
181	127	164
182	128	163
183	129	162
184	129	162
185	130	161
186	131	160
187	132	160
188	132	159
189	133	159
190	134	158
191	135	158
192	136	157
193	137	157
194	138	156
195	138	155
196	139	155
197	140	154
198	141	154
199	142	153
200	142	152
201	143	152
202	144	151
203	144	150
204	145	149
205	146	148
206	146	148
207	147	147
208	148	146
209	149	146
210	149	145
211	150	144
212	151	144
213	151	143
214	152	142
215	153	141
216	154	141
217	154	140
218	155	139
219	156	139
220	156	138
221	157	137
222	158	136
223	158	136
224	159	135
225	159	134
226	160	133
227	161	133
228	162	132
229	162	131
230	163	131
231	164	130
232	165	129
233	165	128
234	166	128
235	167	127
236	167	126
237	168	126
238	169	125
239	169	124
240	170	123
241	171	123
242	171	122
243	172	121
244	173	120
245	173	120
246	174	119
247	175	118
248	176	118
249	176	117
250	177	116
251	178	115
252	178	115
253	179	114
254	180	113
255	181	113
256	181	112
257	182	111
258	183	111
259	184	110
260	184	109
261	185	109
262	186	108
263	186	107
264	187	106
265	188	106
266	188	105
267	189	104
268	190	104
269	191	103
270	191	102
271	192	101
272	193	101
273	193	100
274	194	99
275	194	98
276	195	98
277	196	97
278	196	96
279	197	96
280	198	95
281	199	94
282	199	93
283	200	93
284	201	92
285	202	91
286	202	91
287	203	90
288	204	89
289	204	89
290	205	88
291	206	87
292	207	87
293	208	86
294	208	85
295	209	84
296	209	84
297	210	83
298	211	82
299	211	81
300	212	81
301	213	80
302	214	79
303	215	79
304	215	78
305	216	77
306	217	77
307	218	76
308	219	75
309	219	75
310	220	74
311	221	73
312	221	72
313	222	72
314	222	71
315	223	70
316	224	70
317	224	69
318	225	68
319	226	67
320	226	67
321	227	66
322	228	65
323	228	65
324	229	64
325	230	63
326	230	62
327	231	62
328	232	61
329	233	60
330	234	60
331	235	59
332	235	58
333	236	58
334	237	57
335	237	56
336	238	55
337	239	55
338	239	54
339	240	53
340	241	53
341	241	52
342	242	51
343	243	50
344	244	50
345	244	49
346	245	48
347	246	48
348	247	47
349	247	46
350	248	45
351	249	45
352	249	44
353	250	43
354	251	43
355	251	42
356	252	41
357	253	41
358	254	40
359	254	39
360	255	38
361	256	38
362	257	37
363	258	36
364	259	36
365	259	35
366	260	34
367	261	34
368	261	33
369	262	32
370	263	31
371	263	31
372	264	30
373	265	29
374	266	29
375	267	28
376	268	27
377	268	27
378	269	26
379	270	25
380	271	24
381	271	24
382	272	23
383	273	22
384	274	22
385	275	21
386	275	20
387	276	19
388	277	19
389	278	18
390	279	17
391	280	17
392	281	16
393	282	15
394	282	15
395	283	14
396	284	13
397	285	12
398	285	12
399	286	11
400	287	10
401	288	10
402	289	9
403	290	8
404	290	7
405	291	7
406	292	6
407	293	5
408	294	5
409	295	4
410	296	3
411	297	2
412	297	2
413	298	1
414	299	0
415	300	0
