Cement ,Blast Furnance Slag,Fly Ash,Water,Limestone Powder,Silica Fume,Quartz Powder,Superplasticizer,Coarse Aggregate ,Fiber,Nano-Silica,Fine Aggregate,Age,Compressive Strength
540.0 ,0.0 ,0.0 ,162.0 ,0.0 ,0.0 ,0.0 ,2.5 ,1040.0 ,0.0 ,0.0 ,676.0 ,28 ,79.99 
540.0 ,0.0 ,0.0 ,162.0 ,0.0 ,0.0 ,0.0 ,2.5 ,1055.0 ,0.0 ,0.0 ,676.0 ,28 ,61.89 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,270 ,40.27 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,365 ,41.05 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,978.4 ,0.0 ,0.0 ,825.5 ,360 ,44.30 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,90 ,47.03 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,365 ,43.70 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,28 ,36.45 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,28 ,45.85 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,28 ,39.29 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,978.4 ,0.0 ,0.0 ,825.5 ,90 ,38.07 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,978.4 ,0.0 ,0.0 ,825.5 ,28 ,28.02 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,270 ,43.01 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,90 ,42.33 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,28 ,47.81 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,90 ,52.91 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,90 ,39.36 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,365 ,56.14 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,90 ,40.56 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,180 ,42.62 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,180 ,41.84 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,28 ,28.24 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,3 ,8.06 
139.6 ,209.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,1047.0 ,0.0 ,0.0 ,806.9 ,180 ,44.21 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,365 ,52.52 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,270 ,53.30 
380.0 ,95.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,270 ,41.15 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,180 ,52.12 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,28 ,37.43 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,7 ,38.60 
304.0 ,76.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,365 ,55.26 
266.0 ,114.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,365 ,52.91 
198.6 ,132.4 ,0.0 ,192.0 ,0.0 ,0.0 ,0.0 ,0.0 ,978.4 ,0.0 ,0.0 ,825.5 ,180 ,41.72 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,270 ,42.13 
190.0 ,190.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,365 ,53.69 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,270 ,38.41 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,28 ,30.08 
332.5 ,142.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,90 ,37.72 
475.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,90 ,42.23 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,180 ,36.25 
342.0 ,38.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,90 ,50.46 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,365 ,43.70 
237.5 ,237.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,365 ,39.00 
380.0 ,0.0 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,670.0 ,180 ,53.10 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,90 ,41.54 
427.5 ,47.5 ,0.0 ,228.0 ,0.0 ,0.0 ,0.0 ,0.0 ,932.0 ,0.0 ,0.0 ,594.0 ,7 ,35.08 
